inchikey,std_smiles,pchembl_DprE1,pchembl_InhA,pchembl_KasA
AABLXNQNALWNDW-UHFFFAOYSA-N,CN1CCN(c2ccc(C(=O)NNCC3CCCC3)cc2)CC1,,,6.75
AAHDVRRKEJZSPG-UHFFFAOYSA-N,O=C1OC(COc2ccc3ccccc3c2)(c2ccccc2)CC(O)=C1Sc1ccccc1Cl,,7.05,
AAHWUWLAOSHJFH-HKBOAZHASA-N,CC(C)C[C@H](NC(=O)[C@@H](O)[C@H](N)Cc1ccccc1)C(=O)NCc1ccc(C(=O)NO)cc1,,,5.87
AAIYXSVMDBVZTF-OQLLNIDSSA-N,N/N=C(\Cc1ccc(O)c(Br)c1)C(=O)NCCS,,,4.89
AAJDNQLQRKMYTJ-UHFFFAOYSA-N,O=C(C1COCCO1)N(Cc1ccc(-c2noc(C(F)(F)F)n2)cc1)c1cccc(C(F)(F)F)c1,,,5.62
AAMHUKDMAMABLC-UAGACBDMSA-N,CCC(=O)CCCCC[C@@H]1NC(=O)[C@H](C)N(C)C(=O)C[C@H](CC(C)C)NC(=O)[C@H](Cc2c[nH]c3ccccc23)NC1=O,,,5.68
AAROLUGLGDXGEZ-CFILSVQKSA-N,COC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@H](C)N1CCC([C@H](C)NC(=O)[C@H](C)N)=C[C@@H](Cc2ccccc2)C1)C(C)C)C(C)C,,6.36,
ABEDQOQTISCLFO-QHCPKHFHSA-N,O=C(N[C@@H](CCCCCB(O)O)C(=O)Nc1cccc(-c2ccccc2)c1)c1cccnc1,,,4.64
ABIUFIYFFWDIDH-DXRVJIQQSA-N,CN1CCC[C@H](n2c(-c3cccc(/C=C/C(=O)NO)c3)nc3ccccc32)C1,,,6.8
ABIUFIYFFWDIDH-IENJSVCTSA-N,CN1CCC[C@@H](n2c(-c3cccc(/C=C/C(=O)NO)c3)nc3ccccc32)C1,,,6.7
ABIUFIYFFWDIDH-VAWYXSNFSA-N,CN1CCCC(n2c(-c3cccc(/C=C/C(=O)NO)c3)nc3ccccc32)C1,,,6.8
ABJDGWXKAMVWGP-UHFFFAOYSA-N,Nc1ccc(-c2nc(N3CCOCC3)c3cnn(CCCCCCC(=O)NO)c3n2)cc1,,,7.45
ABJDXVPJCFBZBN-NSHDSACASA-N,Cc1noc([C@@H]2COCC(=O)N2c2ccc(-c3noc(C(F)(F)F)n3)cc2)n1,,,5.52
ABKAFUZUCJSIKV-ZZXKWVIFSA-N,O=C(/C=C/c1ccc(C(F)(F)F)cc1)NO,,,6.02
ABKYAMSVHWBFGO-DHRITJCHSA-N,O=C(NO)c1ccc(/C=N/NC(=O)c2cc(N3CCOCC3)nc(-c3cccc4[nH]ncc34)n2)cc1,,,7.18
ABLGDAJOSLVGPZ-UHFFFAOYSA-N,CN(C(=O)CN(C)S(=O)(=O)c1ccc(F)cc1)c1ccc(C(=O)NO)cc1,,,6.24
ABMHQQPJRALZGO-XXFVLIKZSA-N,CC[C@H]1OC(=O)[C@H](C)C(=O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)Cc3ccc(-c4cn(CC(=O)NO)nn4)cc3)[C@H]2O)[C@@](C)(OC)C[C@@H](C)C2=NCCN3C(=O)O[C@@]1(C)[C@H]3[C@H]2C,,,5.54
ABPLIEJUZKFIIC-UHFFFAOYSA-N,[N-]=[N+]=Nc1ccc(-c2csc(NC(=O)CCCCCCC(=O)NO)n2)cc1,,,5.59
ABUAEJMNHRQEPP-QSCLJHCWSA-N,CC(C)c1nc(CN(C)C(=O)N[C@H](C(=O)N[C@H](CC[C@H](Cc2ccccc2)NC(=O)OCc2cncs2)Cc2ccccc2)C(C)C)cs1,,8.3,
ABUMCNXFLYUHIW-UHFFFAOYSA-N,FC(F)(F)c1nc(-c2ccnc(OCc3cnn4c3OCCC4)c2)no1,,,5.36
ABWVQTTWUXBWDD-UHFFFAOYSA-N,O=C(CCCCCCC(=O)Nc1cccc(-c2cn(-c3ccccc3)nn2)c1)NO,,,5.56
ACFVBZGENILKBO-UHFFFAOYSA-N,Cc1ccc2c(cnn2C(Cc2ccccc2)C(=O)NO)n1,,,6.43
ACGVFMBQNSCSQI-SANMLTNESA-N,N[C@@H](Cc1c[nH]c2ccccc12)C(=O)Nc1ccccc1-c1ccc(NC(=O)CCCCCCC(=O)NO)cc1,,,5.76
ACHNIHXZRYXTIN-DHZHZOJOSA-N,O=C(/C=C/c1ccc2c(c1)nc(CCc1ccccc1)n2CC(O)CO)NO,,,6.34
ACHSACBEQNAECY-UHFFFAOYSA-N,O=C(CCCCCCNc1nn2c(=O)c3cc(Br)ccc3nc2c2ccccc12)NO,,,6.65
ACOLSUZRXNFSQW-UHFFFAOYSA-N,O=C(NO)c1ccc(NC(=O)c2ccc(F)cc2)cc1,,,6.25
ACPIDSGGQRVDKS-UHFFFAOYSA-N,Cc1cncnc1OCc1ccc(-c2noc(C(F)(F)F)n2)c(F)c1,,,5.72
ACRHTKSQCOUKAC-LBGGBARHSA-N,CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)[C@@H]1CN(c2ccccc2O)C(=O)O1)S(=O)(=O)c1ccc2c(c1)OCO2,,8.83,
ACUNRNHXDMKZIB-AEKIIXOMSA-N,CC(C)[C@H](NC(=O)OCc1cccnc1)C(=O)N[C@@H](Cc1ccccc1)[C@@H](O)[C@H](O)[C@H](Cc1ccccc1)NC(=O)[C@@H](NC(=O)OCc1cccnc1)C(C)C,,8.89,
ACVLGERGMXKABD-UHFFFAOYSA-N,CN(C)c1cccc(COc2cc(-c3noc(C(F)(F)F)n3)ccn2)n1,,,4.77
ACVQEBXNNLXAGR-WOOPDLCSSA-N,CCN1CCC[C@@H](n2c(-c3cccc(/C=C/C(=O)NO)c3)nc(C)c2-c2ccccc2)C1,,,7.3
ACYSJVQNEBVOLM-OALUTQOASA-N,O=C1CCC[C@@H](C(=O)N[C@@H](CCCCCS)C(=O)N2CCc3ccccc3C2)N1,,,5.65
ACZCHLZGYLVSCS-UHFFFAOYSA-N,Cc1noc(C)c1-c1cc2cc(C(=O)NO)ccc2s1,,,6.12
ACZCWVKQNYAZBA-VWLOTQADSA-N,CCC(=O)CCCCC[C@H](NC(=O)C1CC2(C1)CN(C)C2)c1ncc(-c2cc3ccccc3nc2OC)[nH]1,,,5.58
ADGMLMOMGZHAGZ-UHFFFAOYSA-N,O=C1N(CC2CCOCC2)CC(c2ccccc2)N1c1ccc(-c2noc(C(F)(F)F)n2)cc1,,,5.4
ADMHGYYUSPFHOT-VWLOTQADSA-N,O=C(COc1ccc2c(c1)CN(C(=O)OCc1ccccc1)[C@H](C(=O)NCCc1ccccc1)C2)NO,,,6.24
ADORMHQFWRYXJP-UHFFFAOYSA-N,COC(=O)Cc1c(C)n(Cc2ccc(-c3cn(CCCCCCCC(=O)NO)nn3)cc2)c2ccc(OC)cc12,,,6.41
