smiles,pred_InhA,pred_KasA,pred_DprE1,MTRS
COc1ccc(S(=O)(=O)N(CC(C)C)C[C@@H](O)[C@H](Cc2ccccc2)NC(=O)O[C@@H]2C[C@@H]3[C@@H](OC(=O)N(C)C)CO[C@@H]3C2)cc1,10.346403,5.6805964,9.3245125,7.896107
COc1ccc(S(=O)(=O)N(CC(C)C)C[C@@H](O)[C@H](Cc2ccc(OCP(=O)(OC)OC)cc2)NC(=O)O[C@H]2CO[C@H]3OCC[C@H]32)cc1,10.15212,5.5851893,9.082469,7.738965
COc1ccc(S(=O)(=O)N(CC(C)C)C[C@@H](O)[C@H](Cc2ccccc2)NC(=O)O[C@@H]2C[C@@H]3OC(=O)N(C)[C@@H]3C2)cc1,10.040812,5.60162,9.016182,7.711586
COc1ccc(S(=O)(=O)N(CC(C)C)C[C@@H](O)[C@H](Cc2ccccc2)NC(=O)O[C@H]2C[C@H]3CO[C@H]4OC2C[C@@H]34)cc1,9.983215,5.566935,8.895798,7.648909
COc1ccc(S(=O)(=O)N(CC(C)C)C[C@@H](O)[C@H](Cc2ccccc2)NC(=O)O[C@H]2C[C@H]3CO[C@H]4O[C@H](C)C[C@@H]2[C@@H]34)cc1,9.96594,5.5671744,8.878786,7.6414804
COc1ccc(S(=O)(=O)N(CC(C)C)C[C@@H](O)[C@H](Cc2ccccc2)NC(=O)O[C@H]2C[C@H]3OC(=O)N(c4ccccc4)[C@H]3C2)cc1,9.81754,5.5291734,8.837988,7.578335
COc1ccc(S(=O)(=O)N(CC(C)C)C[C@@H](O)[C@H](Cc2ccccc2)NC(=O)O[C@@H]2C[C@@H]3[C@H](OC)CO[C@@H]3C2)cc1,9.760476,5.5141582,8.638203,7.508067
COC(=O)N[C@H](C(=O)NN(CC(C)C)C[C@H](O)[C@H](Cc1ccccc1)NC(=O)[C@@H]1CN(c2ccccc2)C(=O)O1)C(C)(C)C,9.524487,5.5241957,8.481113,7.4271507
CO[C@@H]1CO[C@H]2[C@@H]1OC[C@@H]2OC(=O)N[C@@H](Cc1ccccc1)[C@H](O)CN(CC(C)C)S(=O)(=O)c1ccc(N)cc1,9.358874,5.439172,8.23923,7.2802715
COc1ccc(S(=O)(=O)N(CC(C)C)C[C@@H](O)[C@H](Cc2ccccc2)NC(=O)O[C@@H]2C[C@@H]3[C@H](C)CO[C@@H]3C2)cc1,9.315128,5.4728026,8.058046,7.2433405
CC[C@H]1OC(=O)[C@@H](C)[C@H](O[C@@H]2C[C@](C)(OC)[C@@](O)(CN(C)Cc3ccc(-c4cn(CC(=O)NO)nn4)cc3)[C@@H](C)O2)[C@H](C)[C@H](O[C@H]2O[C@@H](C)C[C@@H](N(C)C)[C@@H]2O)[C@@](C)(O)C[C@H](C)CN(C)[C@@H](C)[C@H](O)[C@@]1(C)O,8.69418,5.5351777,8.125223,7.1640816
COc1ccc(S(=O)(=O)N(CC(C)C)C[C@@H](O)[C@H](Cc2ccccc2)NC(=O)c2ccc3c(c2)[C@@H](NC(=O)OC(C)(C)C)CC[C@@H]3O)cc1,9.084822,5.397818,7.986222,7.133526
CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@@H]1C[C@@H]2[C@H](O)CO[C@@H]2C1)S(=O)(=O)c1ccc(CO)cc1,9.090927,5.427685,7.8961535,7.127848
C=CCCCOc1cc(OC)ccc1S(=O)(=O)N(CC=C)C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@H]1CO[C@H]2OCC[C@H]21,8.995104,5.527757,7.6009903,7.081508
CCCCCN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@H](C)CC(=O)OC)S(=O)(=O)c1ccc(OC)cc1,8.975775,5.511685,7.626583,7.0760717
COc1ccc(S(=O)(=O)N(CC(C)C)C[C@@H](O)[C@H](Cc2ccccc2)NC(=O)[C@@H]2CN(c3ccc(F)cc3F)C(=O)O2)cc1,8.976137,5.339512,7.950628,7.067707
CC[C@H](C)[C@H](NC(=O)[C@@H](N)CO)C(=O)N[C@H](C(=O)N[C@@H](CCC(=O)O)C(=O)NC12NC(=O)C3(O)C4C5CC(C6C5C3C61)C42)C(C)C,8.595839,5.463964,7.841871,7.027847
CC(=O)c1cccc(N2CC(C(=O)NN(Cc3ccc(-c4ccccn4)cc3)CC(O)[C@H](Cc3ccccc3)NC(=O)[C@@H]3CN(c4cccc(C(C)=O)c4)C(=O)O3)OC2=O)c1,8.676964,5.375725,7.9559865,7.026408
CC(C)[C@H](NC(=O)OCc1ccccc1)C(=O)N[C@@H](Cc1ccccc1)[C@@H](O)[C@H](O)[C@H](Cc1ccccc1)NC(=O)[C@@H](NC(=O)OCc1ccccc1)C(C)C,8.841438,5.4189725,7.6412344,7.001012
